Descriptor ID,Fitness,Model,R2,Q2,R2Pred_Validation,R2Pred_Test
"[93, 240, 320]",0.5,MLR,0.07,-0.09,0.07,-0.17
"[78, 158, 239, 262, 317]",0.59,MLR,0.28,-0.1,-0.45,-0.22
"[78, 150, 160, 302, 312]",0.6,MLR,0.07,-0.17,-0.35,-0.14
"[0, 2, 57, 126, 208, 227, 245, 321]",0.6,MLR,0.25,-0.07,-0.55,-0.71
"[20, 99, 153, 252, 348, 361]",0.53,MLR,0.07,-0.23,0.1,0.09
"[12, 21, 133, 193, 303, 332]",0.66,MLR,0.08,-0.64,0.06,-0.18
"[1, 157, 169, 182, 254, 365]",0.87,MLR,0.2,-1.22,-0.12,0.01
"[3, 140, 242, 269, 360]",0.47,MLR,0.25,0.03,0.01,0.17
"[27, 37, 66, 158, 220]",0.54,MLR,0.08,-0.12,-0.14,-0.12
"[111, 127, 181, 187, 234, 298, 320, 326]",0.54,MLR,0.39,0.09,-0.48,-1.73
"[59, 145, 148, 213, 284, 308, 378]",0.6,MLR,0.03,-0.34,-0.1,-0.35
"[1, 88, 96, 105, 134, 172, 311, 364]",0.6,MLR,0.26,-0.09,-0.52,-0.18
"[127, 235, 297]",0.42,MLR,0.23,0.08,0.21,0.3
"[58, 105, 305, 315, 320]",0.54,MLR,0.1,-0.14,-0.09,-0.29
"[13, 51, 130, 135, 263, 285, 298]",0.58,MLR,0.17,-0.14,-0.32,-0.45
"[109, 238, 291]",0.49,MLR,0.01,-0.11,0.16,-0.4
"[99, 173, 228, 293, 300, 336]",0.57,MLR,0.13,-0.19,-0.15,-0.47
"[54, 120, 274, 275, 295]",0.58,MLR,0.13,-0.17,-0.23,-0.49
"[14, 29, 36, 99, 362, 381]",0.72,MLR,0.17,-0.04,-1.24,-0.08
"[136, 270, 306, 368, 370]",0.5,MLR,0.24,-0.0,-0.08,-0.12
"[72, 86, 144, 167, 212, 311]",0.54,MLR,0.16,-0.14,-0.08,0.18
"[4, 24, 139, 158, 164, 169, 190, 222, 236, 274, 293, 316]",0.72,MLR,0.5,-0.14,-1.1,-0.96
"[37, 187, 289, 291, 358, 365, 373]",0.58,MLR,0.18,-0.09,-0.4,-0.89
"[4, 88, 328]",0.61,MLR,0.17,0.04,-0.76,-1.2
"[21, 53, 112, 145, 190, 268, 304, 383]",0.96,MLR,0.12,-1.59,0.01,-0.01
"[121, 175, 222, 247, 318, 375]",0.52,MLR,0.16,-0.12,0.01,-0.37
"[58, 159, 379, 383]",0.5,MLR,0.06,-0.1,0.06,-0.08
"[47, 78, 110, 210, 220, 262, 267, 288, 312, 369, 370]",0.58,MLR,0.38,-0.19,-0.2,0.26
"[28, 29, 211, 272, 344]",0.57,MLR,0.04,-0.26,-0.06,0.05
"[33, 70, 76, 120, 129, 246, 263, 320]",0.73,MLR,0.12,-0.73,-0.12,-0.21
"[9, 89, 268, 279, 323, 375]",0.59,MLR,0.12,-0.22,-0.23,-0.08
"[34, 301, 375]",0.56,MLR,0.09,-0.08,-0.31,-0.59
"[161, 164, 170, 182, 314]",6.27267441224725e+27,MLR,0.3,-2.0758040204564403e+28,-0.0,0.15
"[15, 55, 272, 315, 325]",0.55,MLR,0.14,-0.28,0.09,0.19
"[3, 21, 34, 76, 170, 201, 295]",0.49,MLR,0.54,-0.07,0.08,-0.83
"[12, 126, 148, 166, 228, 281, 309, 316]",0.86,MLR,0.16,-0.32,-1.55,-0.82
"[33, 80, 136, 194, 245, 349]",0.47,MLR,0.13,-0.17,0.32,-0.21
"[174, 318, 351]",0.49,MLR,0.08,-0.08,0.07,-0.21
"[60, 83, 119, 132, 239, 280, 375]",0.66,MLR,0.2,-0.24,-0.59,-0.83
"[25, 192, 380]",0.51,MLR,0.06,-0.06,-0.07,0.02
"[0, 6, 36, 354, 371]",0.65,MLR,0.2,0.02,-0.97,-1.01
"[48, 79, 97, 99, 143, 270, 312, 380]",0.77,MLR,0.18,-0.16,-1.31,-0.84
"[19, 154, 307, 319, 338, 376]",0.69,MLR,0.27,0.05,-1.23,-1.32
"[13, 32, 80, 275, 292]",0.5,MLR,0.19,-0.05,-0.01,0.16
"[140, 149, 173, 178, 254, 332]",0.57,MLR,0.22,-0.24,-0.08,-0.8
"[6, 49, 50, 81, 143, 260, 314]",0.6,MLR,0.32,0.01,-0.68,-0.67
"[7, 21, 25, 94, 191, 213, 266, 293, 298, 301, 318]",1.07,MLR,0.31,-1.55,-0.65,-0.93
"[21, 292, 306]",0.56,MLR,0.12,-0.01,-0.41,-0.55
"[0, 126, 143, 244]",0.48,MLR,0.07,-0.12,0.2,0.2
"[19, 118, 156, 158, 210, 219, 251]",4.14,MLR,0.31,-0.16,-20.05,-228.12
