Descriptor ID,Fitness,Model,R2,Q2,R2Pred_Validation,R2Pred_Test
"[103L, 148L, 257L, 319L, 369L]",0.46,MLR,0.24,0.05,0.04,-0.84
"[20L, 104L, 306L, 313L, 318L]",0.46,MLR,0.19,0.03,0.08,-0.29
"[43L, 75L, 79L, 141L, 369L]",0.47,MLR,0.2,-0.03,0.12,0.03
"[72L, 80L, 113L, 140L, 143L, 257L]",0.49,MLR,0.14,-0.17,0.26,-0.44
"[91L, 332L, 343L]",0.49,MLR,0.04,-0.11,0.12,0.04
"[8L, 52L, 56L, 163L, 171L, 274L, 311L, 336L]",0.49,MLR,0.37,-0.11,0.15,0.45
"[123L, 321L, 330L, 380L]",0.5,MLR,0.23,0.08,-0.23,0.03
"[17L, 70L, 218L, 259L, 300L]",0.51,MLR,0.25,0.06,-0.25,0.26
"[9L, 22L, 23L, 31L, 56L, 80L, 277L]",0.51,MLR,0.17,-0.13,0.05,-0.16
"[46L, 171L, 229L, 298L, 351L, 357L, 375L]",0.51,MLR,0.29,-0.02,-0.11,0.11
"[57L, 182L, 301L]",0.52,MLR,0.02,-0.12,0.01,-0.07
"[124L, 182L, 372L]",0.52,MLR,0.02,-0.16,0.06,0
"[97L, 99L, 123L, 225L, 296L, 317L, 344L, 369L]",0.52,MLR,0.08,-0.26,0.24,-0.11
"[61L, 205L, 259L, 284L, 317L]",0.53,MLR,0.09,-0.21,0.07,-0.21
"[9L, 72L, 300L, 340L]",0.53,MLR,0.03,-0.17,0.02,0.12
"[92L, 160L, 231L]",0.53,MLR,0.02,-0.14,-0.06,-0.05
"[11L, 85L, 272L, 286L, 320L]",0.53,MLR,0.1,-0.16,0.02,-0.42
"[81L, 108L, 166L, 224L, 295L, 302L, 341L]",0.54,MLR,0.11,-0.2,0.03,-0.1
"[28L, 109L, 156L, 169L, 212L, 327L]",0.54,MLR,0.24,-0.03,-0.26,-0.01
"[36L, 46L, 306L, 361L]",0.55,MLR,0.13,-0.02,-0.32,-0.48
"[1L, 237L, 324L, 376L]",0.55,MLR,0.04,-0.19,-0.07,-0.21
"[36L, 66L, 81L, 90L, 107L, 345L]",0.55,MLR,0.16,-0.19,-0.03,-0.12
"[51L, 100L, 235L, 309L, 379L]",0.56,MLR,0.1,-0.17,-0.17,-0.41
"[16L, 304L, 324L, 340L]",0.57,MLR,0.12,-0.05,-0.42,0.11
"[32L, 54L, 76L, 110L, 138L, 200L, 209L, 323L, 337L]",0.57,MLR,0.26,-0.23,-0.09,-0.3
"[51L, 79L, 130L, 294L, 323L]",0.58,MLR,0.2,-0.09,-0.38,-0.61
"[42L, 55L, 144L, 280L, 323L]",0.58,MLR,0.07,-0.22,-0.18,-0.41
"[94L, 117L, 222L, 252L]",0.58,MLR,0.08,-0.15,-0.27,-0.48
"[6L, 14L, 19L, 171L, 203L, 212L, 228L, 238L, 303L, 332L]",0.58,MLR,0.51,0.06,-0.65,-0.68
"[21L, 23L, 41L, 43L, 95L, 323L, 338L, 348L, 379L]",0.59,MLR,0.18,-0.25,-0.17,-0.35
"[45L, 104L, 325L, 361L]",0.6,MLR,0.07,-0.22,-0.25,-0.35
"[9L, 15L, 132L, 222L]",0.61,MLR,0.07,-0.16,-0.42,-0.08
"[181L, 279L, 331L, 339L, 353L]",0.64,MLR,0.07,-0.17,-0.56,-0.38
"[3L, 51L, 59L, 133L, 203L, 209L, 214L, 234L, 321L]",0.65,MLR,0.12,-0.32,-0.39,-0.61
"[23L, 205L, 209L, 220L, 292L, 338L]",0.65,MLR,0.16,-0.17,-0.63,-0.8
"[8L, 35L, 55L, 62L, 88L, 134L, 191L, 341L]",0.65,MLR,0.26,-0.03,-0.9,-0.97
"[179L, 180L, 217L, 361L, 375L]",0.66,MLR,0.08,-0.49,-0.17,-0.23
"[8L, 15L, 41L, 73L, 105L]",0.67,MLR,0.14,-0.05,-0.93,-0.75
"[68L, 77L, 222L, 250L, 276L, 279L, 289L, 292L]",0.68,MLR,0.25,-0.07,-0.96,-0.6
"[3L, 85L, 163L, 181L, 182L, 244L, 252L]",0.69,MLR,0.13,-0.21,-0.79,-0.78
"[36L, 155L, 184L, 277L, 330L]",0.71,MLR,0.14,-0.65,-0.17,-0.06
"[15L, 19L, 37L, 55L, 125L, 136L, 163L, 204L, 325L, 334L, 344L, 359L]",0.71,MLR,0.2,-0.63,-0.21,-0.06
"[46L, 83L, 90L, 160L, 185L, 215L, 232L]",0.71,MLR,0.16,-0.1,-1.12,-0.94
"[36L, 51L, 104L, 123L, 246L, 252L, 309L, 328L]",0.74,MLR,0.07,-0.25,-0.98,-1.21
"[6L, 83L, 109L, 130L, 186L, 193L, 357L]",0.74,MLR,0.2,-0.08,-1.27,-1.3
"[31L, 36L, 122L, 146L, 224L, 274L, 283L, 309L, 310L, 383L]",0.79,MLR,0.2,-0.23,-1.29,-0.42
"[10L, 134L, 233L, 249L, 281L, 334L, 374L]",0.8,MLR,0.25,-0.07,-1.64,-1.63
"[47L, 49L, 92L, 103L, 116L, 118L, 166L, 195L, 249L, 264L, 329L, 348L]",0.98,MLR,0.47,-1.19,-0.78,0.36
"[38L, 48L, 144L, 247L, 259L, 260L, 266L, 276L, 285L, 316L, 333L]",2.2,MLR,0.36,-0.73,-8.31,-8.15
"[42L, 99L, 140L, 176L, 285L, 293L]",2.45,MLR,0.15,-0.19,-10.62,-10.88
